student_id,module_id,timestamp,video_watched_percent,quiz_score,assignment_score,notes_taken,time_spent_minutes,success_label
1,M1,2024-01-01 09:00,35,45,50,0,10,0
1,M2,2024-01-02 10:00,40,50,55,0,12,0
1,M3,2024-01-03 11:00,45,55,60,0,14,0
2,M1,2024-01-01 09:10,30,40,45,0,9,0
2,M2,2024-01-02 10:10,35,45,50,0,11,0
2,M3,2024-01-03 11:10,40,50,55,0,13,0
3,M1,2024-01-01 09:20,25,35,40,0,8,0
3,M2,2024-01-02 10:20,30,40,45,0,10,0
3,M3,2024-01-03 11:20,35,45,50,0,12,0
4,M1,2024-01-01 09:30,20,30,35,0,7,0
4,M2,2024-01-02 10:30,25,35,40,0,9,0
4,M3,2024-01-03 11:30,30,40,45,0,11,0
5,M1,2024-01-01 09:40,45,55,60,1,15,0
5,M2,2024-01-02 10:40,50,60,65,1,17,0
5,M3,2024-01-03 11:40,55,65,70,1,19,0
6,M1,2024-01-01 09:50,40,50,55,0,13,0
6,M2,2024-01-02 10:50,45,55,60,0,15,0
6,M3,2024-01-03 11:50,50,60,65,0,17,0
7,M1,2024-01-01 08:00,80,85,90,1,30,1
7,M2,2024-01-02 09:00,82,88,92,1,32,1
7,M3,2024-01-03 10:00,85,90,95,1,34,1
8,M1,2024-01-01 08:10,78,82,88,1,28,1
8,M2,2024-01-02 09:10,80,85,90,1,30,1
8,M3,2024-01-03 10:10,83,88,92,1,32,1
9,M1,2024-01-01 08:20,75,80,85,1,27,1
9,M2,2024-01-02 09:20,78,82,88,1,29,1
9,M3,2024-01-03 10:20,80,85,90,1,31,1
10,M1,2024-01-01 08:30,85,90,95,1,35,1
10,M2,2024-01-02 09:30,88,92,96,1,37,1
10,M3,2024-01-03 10:30,90,95,98,1,39,1
11,M1,2024-01-01 09:00,30,40,45,0,10,0
11,M2,2024-01-02 10:00,35,45,50,0,12,0
11,M3,2024-01-03 11:00,40,50,55,0,14,0
12,M1,2024-01-01 09:10,25,35,40,0,9,0
12,M2,2024-01-02 10:10,30,40,45,0,11,0
12,M3,2024-01-03 11:10,35,45,50,0,13,0
13,M1,2024-01-01 09:20,20,30,35,0,8,0
13,M2,2024-01-02 10:20,25,35,40,0,10,0
13,M3,2024-01-03 11:20,30,40,45,0,12,0
14,M1,2024-01-01 09:30,45,55,60,1,16,0
14,M2,2024-01-02 10:30,50,60,65,1,18,0
14,M3,2024-01-03 11:30,55,65,70,1,20,0
15,M1,2024-01-01 09:40,40,50,55,0,13,0
15,M2,2024-01-02 10:40,45,55,60,0,15,0
15,M3,2024-01-03 11:40,50,60,65,0,17,0
16,M1,2024-01-01 08:40,78,82,88,1,28,1
16,M2,2024-01-02 09:40,80,85,90,1,30,1
16,M3,2024-01-03 10:40,83,88,92,1,32,1
17,M1,2024-01-01 08:50,75,80,85,1,27,1
17,M2,2024-01-02 09:50,78,82,88,1,29,1
17,M3,2024-01-03 10:50,80,85,90,1,31,1
18,M1,2024-01-01 09:00,30,40,45,0,10,0
18,M2,2024-01-02 10:00,35,45,50,0,12,0
18,M3,2024-01-03 11:00,40,50,55,0,14,0
19,M1,2024-01-01 09:10,25,35,40,0,9,0
19,M2,2024-01-02 10:10,30,40,45,0,11,0
19,M3,2024-01-03 11:10,35,45,50,0,13,0
20,M1,2024-01-01 09:20,20,30,35,0,8,0
20,M2,2024-01-02 10:20,25,35,40,0,10,0
20,M3,2024-01-03 11:20,30,40,45,0,12,0
